TeamA;TeamB;ScoreA;ScoreB;MatchStatus;Goalkeeper;Period;TSegment;T;Typeofattack;Locationpass;Bodypartpass;Playerwhoshoot;Jump;Drop;Movement;Dive;Technicalaction;Zonegkintervention;Zoneofthgoal;Fieldzoneshots;Bodypartshots;Goal
8;6;0;0;0;2;1;1;0:02:02;1;2;2;1;0;0;3;0;0;1;12;12;1;0
9;7;0;0;0;1;1;1;0:02:35;1;2;1;1;0;0;3;0;0;1;12;9;1;0
9;7;1;0;1;1;2;4;0:00:55;1;2;1;1;0;0;1;0;0;2;12;8;1;0
9;7;1;0;1;1;2;4;0:04:30;1;8;1;1;0;0;6;0;0;1;12;9;2;0
9;7;1;0;1;1;2;5;0:05:13;3;0;0;1;0;0;3;0;0;1;12;12;3;0
9;7;1;0;-1;2;2;5;0:06:34;3;0;0;1;0;0;3;0;0;1;12;12;1;0
9;8;0;0;0;2;1;1;0:02:06;3;18;1;1;0;0;1;0;0;1;12;8;1;0
9;8;2;0;1;1;2;4;0:02:19;3;0;0;1;0;0;3;0;0;1;12;6;1;0
10;9;0;1;1;2;2;5;0:07:57;1;17;1;1;0;0;2;0;0;1;12;8;1;0
11;12;3;1;-1;2;2;6;0:13:00;2;5;1;1;0;1;2;0;0;1;12;9;2;0
12;13;2;3;1;2;2;5;0:09:42;1;13;1;1;0;0;3;0;0;1;12;11;3;0
12;15;0;1;-1;1;1;2;0:09:34;1;12;1;1;0;0;3;0;0;1;12;11;1;0
13;11;0;2;-1;1;2;4;0:04:37;1;15;1;1;0;0;2;0;0;1;12;6;2;0
13;15;0;1;1;2;1;1;0:04:29;3;14;1;0;0;0;3;0;0;1;12;0;0;0
13;15;2;1;1;1;2;6;0:12:04;3;0;0;1;1;0;3;0;0;1;12;12;1;0
17;18;0;0;0;1;1;2;0:07:26;3;4;1;1;0;0;3;0;0;1;12;6;2;0
17;18;0;1;1;2;2;5;0:09:29;3;1;2;1;0;0;3;0;0;1;12;8;3;0
19;18;0;0;0;1;1;1;0:02:53;2;0;0;1;0;0;3;0;0;1;12;12;1;0
19;18;0;0;0;2;1;1;0:04:08;3;0;0;1;0;0;2;0;0;1;12;9;3;0
19;18;2;0;-1;2;2;5;0:08:55;1;2;1;1;0;0;2;0;0;1;12;9;1;0
19;18;3;0;-1;2;2;6;0:14:10;2;10;2;1;0;0;3;0;0;1;12;9;1;0
4;5;1;0;1;1;2;4;0:02:33;1;2;1;1;0;0;8;0;0;1;12;9;3;0
4;5;2;0;1;1;2;6;0:10:10;1;7;1;1;0;0;3;0;0;1;12;13;1;0
11;15;3;1;-1;2;2;6;0:13:00;2;5;1;1;0;1;2;0;0;1;12;9;2;0
12;15;0;2;-1;1;2;4;0:01:35;3;0;0;1;0;0;2;0;0;1;12;6;1;0
12;15;0;2;-1;1;2;4;0:03:11;3;0;0;1;0;0;3;0;0;1;12;12;1;0
18;16;1;1;0;2;1;3;0:10:34;1;3;1;1;1;0;2;0;0;1;12;12;1;0
1;4;0;0;0;2;1;2;0:09:11;3;18;1;1;0;0;1;0;0;1;11;8;3;0
1;4;0;0;0;2;1;3;0:14:39;1;2;3;1;0;0;1;0;0;1;11;2;2;0
1;4;0;0;0;2;1;3;0:15:23;1;2;2;1;0;0;2;0;0;1;11;6;2;0
1;5;1;0;-1;2;2;4;0:03:00;1;2;1;2;0;1;2;0;0;1;11;9;1;0
1;5;1;0;-1;2;2;6;0:12:00;1;2;1;1;0;0;2;0;0;2;11;9;1;0
2;1;0;1;-1;1;2;4;0:00:40;2;0;0;1;0;0;2;0;0;1;11;9;1;0
2;3;0;0;0;1;1;1;0:04:21;1;19;1;1;0;0;2;0;0;1;11;9;4;0
3;4;0;1;-1;1;2;4;0:04:51;1;3;1;1;0;0;1;0;0;1;11;8;3;0
4;2;0;1;1;2;2;6;0:12:47;3;18;2;1;0;0;2;0;0;1;11;5;3;0
